Men's Shower,38d8'3"N,79d14'4"W
Timber Mountain Program Area,38d8'4"N,79d13'54"W
Tail to Stewart intersects road,38d7'58"N,79d13'50"W
Trading Post SW Corner near ladder ball,38d8'2"N,79d13'52"W
Trading Post SE Corner near charging station,38d8'1"N,79d13'52"W
Trading Post NW Corner,38d8'3"N,79d13'52"W
Dining Hall Central Entrance (and Gaga Ball Ref Chair),38d8'3"N,79d13'51"W
Dining Hall West Entrance,38d8'4"N,79d13'52"W
